Tahun;Provinsi;IHK Umum (Indeks Harga Konsumen Umum);Inflasi YoY Umum (%);Inflasi Makanan YoY (%);Harga Beras (Rp/Kg) (Harga Ritel);Harga Beras (Rp/Kg) (Harga Petani);Harga Cabai (Rp/Kg) (Harga Ritel);Harga Cabai (Rp/Kg) (Harga Petani);Harga Bawang (Rp/Kg) (Harga Ritel);Harga Bawang (Rp/Kg) (Harga Petani);Produksi Padi (Ton);Luas Panen Padi (Ha);Produksi Cabai (Ton);Luas Panen cabai (Ha);Produksi Bawang (Ton);Luas Panen Bawang (Ha);Suhu (Celcius);Total Curah Hujan (mm);Rata-Rata Hari Hujan;PDRB Pertanian Miliar (Rp);PDRB Pengolahan Makanan Miliar (Rp);PDRB Perdagangan Miliar (Rp);Akses Internet Penduduk (%);Panjang Jalan Km;Jumlah Koperasi Pertanian
2025;Sumatera Utara;175.75;3.20;3.50;15400;10600;83000;42000;62000;58000;4425800;849800;287100;69500;144000;29600;28.2;2390;174;68.7;55.4;135.2;84.8;3836;276
2025;Sumatera Barat;106.76;-0,09;-0.1;10462;8370;53807;43046;25949;20759;1376456;300000;22000;3500;12000;1800;28;32;220;29;21.8 ;30.1 ;70;27100;122
2025;Riau;178.5;3.2;4;30840;16250;39178;26210;39186;22051;211000;53000;6620;1380;167;27;27.9;2511;255;30.05;17.14;20.67;88.7;3578;358
2025;Kepulauan Riau;128.96;2.76;3.33;30840;16250;35016;21884;34517;20304;684;148;1025;149;759;148;27.9;1272.6;14.7;27.8;66;39.76;85;3724;57
2025;Jambi;175.9;2.99;4.5;12200;9760;54000;43200;44000;35200;436000;75800;123000;16000;16800;6275;27.5;2310;178;503;44;15.6;82.3;13950;770
2025;Bengkulu;165.11;2.65;3.18;21537;16467;85437;61027;31720;24670;330240;90680;70790;16281;6184;2023;26.5;3174;192;19.03;43.24;82.22;80;3575;709
2025;Sumatera Selatan;163.2;2.90;3.8;15800;12650;54000;40500;38500;30800;2880850;535000;55100;6450;1580;160;33.1;2540;192;24.8;36.7;52;85;30900;3200
2025;Lampung;132.5;1.8;2.5;15800;11600;75200;63500;53500;44200;2780000;518000;10480;1945;1705;680;27.5;2670;112;139.50;79.5;122.5;84.5;16580;728
2025;Kepulauan Bangka Belitung;174.51;2.8;3.2;27967;23772;115560;98226;74146;63024;83436;1854;1682;274;1329;166;26.4;2547;205;10.6;4.74;7.13;93.2;1480;1093
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
